,Index of title,Title,Data,Question
0,4,Context of the organization,,
1,4.1,Understanding the organization and its context,The organization shall monitor and review information about these external and internal issues.,Does the organization monitor and review information about these external and internal issues?
2,4.1,Understanding the organization and its context,The organization shall determine external and internal issues that are relevant to its purpose and its strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.,Does the organization determine external and internal issues that are relevant to its purpose and its strategic direction and that affect its ability to achieve the intended result(s) of its quality management system?
3,4.2,Understanding the needs and expectations of interested parties,"Due to their effect or potential effect on the organization’s ability to consistently provide products and services that meet customer and applicable statutory and regulatory requirements, the organization shall determine the interested parties that are relevant to the quality management system",Does the organization determine the interested parties that are relevant to the quality management system due to their effect or potential effect on s ability to consistently provide products and services that meet customer and applicable statutory and regulatory requirements?
4,4.2,Understanding the needs and expectations of interested parties,"Due to their effect or potential effect on the organization’s ability to consistently provide products and services that meet customer and applicable statutory and regulatory requirements, the organization shall determine the requirements of these interested parties that are relevant to the quality management system.",Does the organization determine the requirements of these interested parties that are relevant to the quality management system due to their effect or potential effect on s ability to consistently provide products and services that meet customer and applicable statutory and regulatory requirements?
5,4.2,Understanding the needs and expectations of interested parties,The organization shall monitor and review information about these interested parties and their relevant requirements.,Does the organization monitor and review information about these interested parties and their relevant requirements?
6,4.3,Determining the scope of the quality management system,"When determining this scope, the organization shall consider the external and internal issues referred to in 4.1",Does the organization consider the external and internal issues referred to in 4.1 when determining this scope?
7,4.3,Determining the scope of the quality management system,"When determining this scope, the organization shall consider the requirements of relevant interested parties referred to in 4.2",Does the organization consider the requirements of relevant interested parties referred to in 4.2 when determining this scope?
8,4.3,Determining the scope of the quality management system,"When determining this scope, the organization shall consider the products and services of the organization.",Does the organization consider the products and services of the organization when determining this scope?
9,4.3,Determining the scope of the quality management system,The organization shall determine the boundaries and applicability of the quality management system to establish its scope.,Does the organization determine the boundaries and applicability of the quality management system to establish its scope?
10,4.3,Determining the scope of the quality management system,"The scope shall state the types of products and services covered, and provide justification for any requirement of this International Standard that the organization determines is not applicable to the scope of its quality management system.",Does the scope state the types of products and services covered and provide justification for any requirement of this international standard that the organization determines is not applicable to the scope of its quality management system?
11,4.3,Determining the scope of the quality management system,Conformity to this International Standard may only be claimed if the requirements determined as not being applicable do not affect the organization’s ability or responsibility to ensure the conformity of its products and services and the enhancement of customer satisfaction.,Is conformity to this international standard may only be claimed if the requirements determined as not being applicable do not affect the organizations ability or responsibility to ensure the conformity of its products and services and the enhancement of customer satisfaction true?
12,4.3,Determining the scope of the quality management system,The organization shall apply all the requirements of this International Standard if they are applicable within the determined scope of its quality management system.,Does the organization apply all the requirements of this international standard if they are applicable within the determined scope of its quality management system?
13,4.3,Determining the scope of the quality management system,The scope of the organization’s quality management system shall be available and be maintained as documented information.,Does the organization be available and be maintained as documented information the scope of s quality management system?
14,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall determine the inputs required and the outputs expected from these processes",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  determine the inputs required and the outputs expected from these processes?
15,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall determine the sequence and interaction of these processes",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  determine the sequence and interaction of these processes?
16,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall determine and apply the criteria and methods (including monitoring, measurements and related performance indicators) needed to ensure the effective operation and control of these processes",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  determine and apply the criteria and methods (including monitoring measurements and related performance indicators) needed to ensure the effective operation and control of these processes?
17,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall determine the resources needed for these processes and ensure their availability",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  determine the resources needed for these processes and ensure their availability?
18,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall assign the responsibilities and authorities for these processes",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  assign the responsibilities and authorities for these processes?
19,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall address the risks and opportunities as determined in accordance with the requirements of 6.1",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  address the risks and opportunities as determined in accordance with the requirements of 6.1?
20,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall evaluate these processes and implement any changes needed to ensure that these processes achieve their intended results",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  evaluate these processes and implement any changes needed to ensure that these processes achieve their intended results?
21,4.4,Quality management system and its processes,"The organization shall determine the processes needed for the quality management system and their application throughout the organization, and shall improve the processes and the quality management system.",Does the organization determine the processes needed for the quality management system and their application throughout the organization and  improve the processes and the quality management system?
22,4.4,Quality management system and its processes,"  The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions, in accordance with the requirements of this International Standard.",Does the organization establish implement maintain and continually improve a quality management system including the processes needed and their interactions in accordance with the requirements of this international standard?
23,4.4,Quality management system and its processes,"To the extent necessary, the organization shall maintain documented information to support the operation of its processes",Does the organization maintain documented information to support the operation of its processes to the extent necessary?
24,4.4,Quality management system and its processes,"To the extent necessary, the organization shall retain documented information to have confidence that the processes are being carried out as planned.",Does the organization retain documented information to have confidence that the processes are being carried out as planned to the extent necessary?
25,5,Leadership,,
26,5.1,Leadership and commitment,,
27,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by taking accountability for the effectiveness of the quality management system,Does top management demonstrate leadership and commitment with respect to the quality management system by taking accountability for the effectiveness of the quality management system?
28,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by ensuring that the quality policy and quality objectives are established for the quality management system and are compatible with the context and strategic direction of the organization,Does top management demonstrate leadership and commitment with respect to the quality management system by ensuring that the quality policy and quality objectives are established for the quality management system and are compatible with the context and strategic direction of the organization?
29,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by ensuring the integration of the quality management system requirements into the organization’s business processes,Does top management demonstrate leadership and commitment with respect to the quality management system by ensuring the integration of the quality management system requirements into the organizations business processes?
